VG,IDS,IGS,transistor,diff_VG,direction,log_IDS,sqrt_IDS
-2.4000000953674316,0.00014365153037942946,1.7874884861157625e-07,4,-0.10000014305114746,volta,-3.842689742927856,0.011985471637754997
-2.5,0.00013609154848381877,1.819529273916487e-07,4,-0.09999990463256836,volta,-3.8661688443838025,0.011665828238227184
-2.5999999046325684,0.00012850954954046756,1.8505204479879467e-07,4,-0.09999990463256836,volta,-3.891064598724651,0.011336205253102449
-2.700000047683716,0.00012100386811653152,1.8816614044681046e-07,4,-0.10000014305114746,volta,-3.9172007464206233,0.01100017582207355
-2.799999952316284,0.00011356667528161779,1.913478655524159e-07,4,-0.09999990463256836,volta,-3.9447490882070335,0.010656766642918376
-2.9000000953674316,0.00010619543172651902,1.9425048947141477e-07,4,-0.10000014305114746,volta,-3.973894165162619,0.010305116774036043
-3.0,9.901086013996974e-05,1.977494008542635e-07,4,-0.09999990463256836,volta,-4.00431716661271,0.009950420098667681
-3.0999999046325684,9.20914244488813e-05,2.0087945529212448e-07,4,-0.09999990463256836,volta,-4.035780809411499,0.009596427692057149
-3.200000047683716,8.54314275784418e-05,2.030973860200902e-07,4,-0.10000014305114746,volta,-4.068382336417564,0.009242912288799553
-3.299999952316284,7.897114846855402e-05,2.0588556992606755e-07,4,-0.09999990463256836,volta,-4.102531546045075,0.00888657124365489
-3.4000000953674316,7.277716940734535e-05,2.0868930050710333e-07,4,-0.10000014305114746,volta,-4.138004839855534,0.008530953604805581
-3.5,6.693614705000073e-05,2.1130809102487547e-07,4,-0.09999990463256836,volta,-4.17433928993286,0.008181451402410255
-3.5999999046325684,6.137785385362804e-05,2.1379079839789483e-07,4,-0.09999990463256836,volta,-4.211988301238536,0.007834401946136542
-3.700000047683716,5.613109897240065e-05,2.1628093804793025e-07,4,-0.10000014305114746,volta,-4.250796454787683,0.007492069071518271
-3.799999952316284,5.1140861614840105e-05,2.187115626384184e-07,4,-0.09999990463256836,volta,-4.2912319593089325,0.00715128391373466
