Time (s)	Vds (V)	Ids (A)	Vgs (V)	Igs (A)
8.8612999999999999E+1	-1.0000000000000000E+0	-4.4444036007007531E-7	-9.5999997854232788E-1	2.0441889958533469E-8
8.9548000000000002E+1	-1.0000000000000000E+0	-3.5863340031028201E-7	-8.9999997615814209E-1	2.2918129616300579E-8
9.0548000000000002E+1	-1.0000000000000000E+0	-2.8855885148004750E-7	-8.3999997377395630E-1	2.5397634217938499E-8
9.1548000000000002E+1	-1.0000000000000000E+0	-2.3099100587842261E-7	-7.7999997138977051E-1	2.7786946077412719E-8
9.2548000000000002E+1	-1.0000000000000000E+0	-1.8323362382943739E-7	-7.2000002861022949E-1	3.0069600143178832E-8
9.3546000000000006E+1	-1.0000000000000000E+0	-1.4374292334196070E-7	-6.6000002622604370E-1	3.2198990140841488E-8
9.4546000000000006E+1	-1.0000000000000000E+0	-1.1130416055493700E-7	-6.0000002384185791E-1	3.4199594267647633E-8
9.5546000000000006E+1	-1.0000000000000000E+0	-8.2165634296416101E-8	-5.4000002145767212E-1	3.6000312064743411E-8
9.6563000000000002E+1	-1.0000000000000000E+0	-6.3260081617499963E-8	-4.7999998927116388E-1	3.7822712073420923E-8
9.7546999999999997E+1	-1.0000000000000000E+0	-3.8077569541883349E-8	-4.1999998688697809E-1	3.5133993492308952E-8
9.9724999999999994E+1	-1.0000000000000000E+0	-2.7951646330848231E-8	-3.6000001430511469E-1	3.7713839162734082E-8
1.0054700000000000E+2	-1.0000000000000000E+0	-1.9755793445597188E-8	-3.0000001192092901E-1	3.8950371816781632E-8
1.0154900000000001E+2	-1.0000000000000000E+0	-1.4348280785725360E-8	-2.3999999463558200E-1	4.0017496871769247E-8
1.0254700000000000E+2	-1.0000000000000000E+0	-1.1223042051256021E-8	-1.8000000715255740E-1	4.0926494193627150E-8
1.0354800000000000E+2	-1.0000000000000000E+0	-9.8098755785258618E-9	-1.1999999731779100E-1	4.1429245811741573E-8
1.0461400000000000E+2	-1.0000000000000000E+0	-9.5480796602487316E-9	-5.9999998658895493E-2	4.2689155321795618E-8
1.0554800000000000E+2	-1.0000000000000000E+0	-9.9290966559806293E-9	0.0000000000000000E+0	4.3539404970260882E-8
1.0654700000000000E+2	-1.0000000000000000E+0	-1.0589015886353080E-8	5.9999998658895493E-2	4.4299483192844491E-8
1.0754800000000000E+2	-1.0000000000000000E+0	-1.1342859096430400E-8	1.1999999731779100E-1	4.4990624559204661E-8
1.0854700000000000E+2	-1.0000000000000000E+0	-1.2136292859565859E-8	1.8000000715255740E-1	4.5464968678743389E-8
1.0954800000000000E+2	-1.0000000000000000E+0	-1.3011121957617890E-8	2.3999999463558200E-1	4.5705736084755699E-8
1.1054600000000001E+2	-1.0000000000000000E+0	-1.4031708239770070E-8	3.0000001192092901E-1	4.5647585267261093E-8
1.1154600000000001E+2	-1.0000000000000000E+0	-1.5290760657649119E-8	3.6000001430511469E-1	4.5454978447878602E-8
1.1254600000000001E+2	-1.0000000000000000E+0	-1.6831434024311420E-8	4.1999998688697809E-1	4.5448185659324742E-8
