Time (s),Vds (V),IDS,VG,IGS,cycle_id,diff_VG,direction,log_IDS
163.546,-1.0,9.02820647752378e-06,-2.339999914169312,-9.173628257030941e-08,1,-0.05999994277954057,ida,-5.044398517048441
164.547,-1.0,9.581479389453305e-06,-2.400000095367432,-9.765198427658106e-08,1,-0.06000018119812012,ida,-5.018567430266652
165.547,-1.0,1.014204008242814e-05,-2.4600000381469727,-1.052980422855399e-07,1,-0.05999994277954057,ida,-4.993874677406469
166.582,-1.0,1.065863307303516e-05,-2.519999980926514,-1.1023616508509801e-07,1,-0.05999994277954146,ida,-4.972298488264691
220.547,-1.0,1.881885580701237e-08,0.47999998927116394,3.184839414416274e-08,1,-0.06000003218650818,ida,-7.725406785361834
221.548,-1.0,1.625020473738914e-08,0.4199999868869781,2.351642791609265e-08,1,-0.060000002384185847,ida,-7.78914116294614
222.548,-1.0,1.3915622432136841e-08,0.3600000143051147,1.71056395714686e-08,1,-0.0599999725818634,ida,-7.856497363329453
223.548,-1.0,1.1859321524809728e-08,0.300000011920929,1.199259802575625e-08,1,-0.06000000238418568,ida,-7.92594015637309
224.548,-1.0,1.007299399446993e-08,0.239999994635582,7.84040654622231e-09,1,-0.06000001728534701,ida,-7.996841424975908
225.548,-1.0,8.553779018427575e-09,0.1800000071525574,4.4615031669081864e-09,1,-0.0599999874830246,ida,-8.067841973662699
226.549,-1.0,7.275211988400086e-09,0.119999997317791,1.652371905969119e-09,1,-0.0600000098347664,ida,-8.138154347489676
227.549,-1.0,6.326496659880831e-09,0.059999998658895486,-7.505059351764486e-10,1,-0.05999999865889551,ida,-8.198836716913055
228.548,-1.0,5.287170257162187e-09,0.0,-2.7088404852548816e-09,1,-0.059999998658895486,ida,-8.27677670424299
229.549,-1.0,4.3315053765979875e-09,-0.059999998658895486,-4.447698653819998e-09,1,-0.059999998658895486,ida,-8.36336114218489
230.549,-1.0,2.9559970027293044e-09,-0.119999997317791,-6.665754614942897e-09,1,-0.05999999865889551,ida,-8.529296010635393
231.548,-1.0,2.337336546531787e-09,-0.1800000071525574,-8.51564418979933e-09,1,-0.0600000098347664,ida,-8.631278750261368
232.548,-1.0,2.251708597356128e-09,-0.239999994635582,-9.284770285944431e-09,1,-0.0599999874830246,ida,-8.647487813975602
233.613,-1.0,2.279245903125116e-09,-0.300000011920929,-1.113142999997763e-08,1,-0.06000001728534701,ida,-8.64220881715872
234.547,-1.0,2.127301668153336e-09,-0.3600000143051147,-1.286723616544805e-08,1,-0.06000000238418568,ida,-8.672170919347579
235.547,-1.0,1.986444120305464e-09,-0.4199999868869781,-1.259927806529504e-08,1,-0.0599999725818634,ida,-8.701923647363879
237.341,-1.0,1.5021562882466808e-09,-0.47999998927116394,-1.7538654972781842e-08,1,-0.060000002384185847,ida,-8.82328487985379
237.547,-1.0,1.9790888927673214e-09,-0.5400000214576721,-1.763761048323431e-08,1,-0.06000003218650818,ida,-8.70353469858223
238.623,-1.0,2.3625970069218734e-09,-0.6000000238418579,-1.8967604376030074e-08,1,-0.06000000238418579,ida,-8.62661035056221
239.548,-1.0,3.2105327285592003e-09,-0.6600000262260437,-1.9992018707171162e-08,1,-0.06000000238418579,ida,-8.49342289847441
240.55,-1.0,4.661822483598144e-09,-0.7200000286102295,-2.093881334985781e-08,1,-0.06000000238418579,ida,-8.33144426789429
241.55,-1.0,7.261776957534492e-09,-0.7799999713897705,-2.181993785654868e-08,1,-0.059999942779541016,ida,-8.13895709439305
242.549,-1.0,1.1722218751231141e-08,-0.8399999737739563,-2.260222409233847e-08,1,-0.06000000238418579,ida,-7.930990178401751
243.549,-1.0,1.9203652001920087e-08,-0.8999999761581422,-2.33449224396054e-08,1,-0.0600000023841859,ida,-7.716616172678668
