Ciclo,VG,IDS (A),IGS (A),Razão IDS/IGS,Razão on/off,direction,Valor Máximo IDS,Valor Mínimo IDS
25,-2.5,1.438871549908072e-05,-1.1043429282153741e-07,-130.2920961547061,2162483.503311902,ida,1.572507608216256e-05,7.2717669559463365e-12
26,-2.5,1.467466336180223e-05,-1.0985409915065251e-07,-133.58321150745212,621814.1293586536,ida,1.603345845069271e-05,2.5784969645559208e-11
27,-2.5,1.46894217323279e-05,-1.1176919656463721e-07,-131.42638744685675,1377591.3290827076,ida,1.607730337127578e-05,1.167058984175018e-11
28,-2.5,1.480437458667438e-05,-1.1264037880209801e-07,-131.43044034577267,510838.29613758274,ida,1.619851536815986e-05,3.170967308174788e-11
29,-2.5,1.5036546756164172e-05,-1.1173856506729861e-07,-134.56899815303575,394836.7429364563,ida,1.640797745494638e-05,4.155635904834476e-11
30,-2.5,1.513832739874488e-05,-1.14223119851431e-07,-132.53295320978071,828736.5119436535,ida,1.653796425671317e-05,1.9955636101909313e-11
31,-2.5,1.519682336947881e-05,-1.1536419464164281e-07,-131.7291159244416,1657015.4051218587,ida,1.661241003603209e-05,1.0025501262500572e-11
32,-2.5,1.531274210719857e-05,-1.145868324670118e-07,-133.63439565891593,20356230.08486837,ida,1.67438975040568e-05,8.225441269944788e-13
33,-2.5,1.54157642100472e-05,-1.14466544687275e-07,-134.67484540713087,757712.5671691798,ida,1.684587005001958e-05,2.223253352251486e-11
34,-2.5,1.542116297059692e-05,-1.1456072002147271e-07,-134.611260890351,349594.0638994932,ida,1.685748065938242e-05,4.8220157033984634e-11
35,-2.5,1.559734300826676e-05,-1.1241781550097581e-07,-138.74440575774548,193714.95646035642,ida,1.705390241113491e-05,8.803606454943491e-11
36,-2.5,1.561810859129764e-05,-1.1288452128610521e-07,-138.35473998878578,79545217.45551482,ida,1.706855255179107e-05,2.1457672878116843e-13
37,-2.5,1.588272971275728e-05,-1.1075711370267531e-07,-143.40144106133053,313291.27857064037,ida,1.73477892531082e-05,5.5372716828427926e-11
38,-2.5,1.572344262967817e-05,-1.1320805270997881e-07,-138.88978966857732,1198750.6436714956,ida,1.719113606668543e-05,1.434087744389689e-11
39,-2.5,1.59440387506038e-05,-1.1454045534264881e-07,-139.20006431707523,411.59070799874644,ida,1.74333563336404e-05,4.235604933455761e-08
0,-2.5,1.0276889952365312e-05,-9.164872238898168e-08,-112.13347752680549,1076.3305625895453,volta,1.0276889952365312e-05,9.548079660248732e-09
1,-2.5,1.06575243989937e-05,-9.228518393911146e-08,-115.48467418156086,1069.4070853388107,volta,1.06575243989937e-05,9.965825498170487e-09
2,-2.5,1.09328984763124e-05,-9.303350623213193e-08,-117.51570932985425,1150.4961579248322,volta,1.09328984763124e-05,9.50276834998931e-09
3,-2.5,1.1360478310962208e-05,-9.236483577979016e-08,-122.9957073495705,1113.1804266664906,volta,1.1360478310962208e-05,1.020542406138247e-08
4,-2.5,1.1514067409734712e-05,-9.285404445336097e-08,-124.00178664827072,1061.4165474277306,volta,1.1514067409734712e-05,1.08478310778537e-08
5,-2.5,1.170512405224144e-05,-9.411608203890864e-08,-124.36901110484402,1138.6306501707406,volta,1.170512405224144e-05,1.0280000850571012e-08
6,-2.5,1.209603487950517e-05,-9.416711321819091e-08,-128.4528586055083,1104.892386098058,volta,1.209603487950517e-05,1.094770407661372e-08
7,-2.5,1.237295873579569e-05,-9.52976932921956e-08,-129.83481874905962,1086.4132446726164,volta,1.237295873579569e-05,1.138881433604411e-08
8,-2.5,1.241345398739213e-05,-9.419515123454403e-08,-131.78442653043658,1510.8681191120838,volta,1.241345398739213e-05,8.216106905933884e-09
9,-2.5,1.28420942928642e-05,-9.501016506874291e-08,-135.16547712102732,1506.3109138660823,volta,1.28420942928642e-05,8.525526951075333e-09
10,-2.5,1.300387339142617e-05,-9.538062073488618e-08,-136.3366404122164,1523.7975531705968,volta,1.300387339142617e-05,8.533858952830542e-09
11,-2.5,1.318188878940418e-05,-9.52109076024499e-08,-138.4493554503727,1596.3956224851086,volta,1.318188878940418e-05,8.25728196929276e-09
12,-2.5,1.328091548202792e-05,-9.5131014177241e-08,-139.60657937782426,1534.3353234329095,volta,1.328091548202792e-05,8.655810290747466e-09
13,-2.5,1.349075955658918e-05,-9.4551275253707e-08,-142.68194183938581,1689.5514488429224,volta,1.349075955658918e-05,7.984817251838193e-09
