Time (s)	VDS	IDS	VG	IGS
7.8998999999999995E+1	-1.0000000000000000E+0	-6.7569385464594234E-6	-1.6200000047683720E+0	-9.8511101498388598E-9
8.0069000000000003E+1	-1.0000000000000000E+0	-6.1802220443496481E-6	-1.5599999427795410E+0	-2.6263713426288859E-9
8.0995999999999995E+1	-1.0000000000000000E+0	-5.5550062825204796E-6	-1.5000000000000000E+0	7.8483819443420088E-10
8.2650000000000006E+1	-1.0000000000000000E+0	-4.9842783482745290E-6	-1.4400000572204590E+0	8.2084179453545403E-9
8.2997000000000000E+1	-1.0000000000000000E+0	-4.1872212932503317E-6	-1.3799999952316280E+0	7.8951361004442333E-9
8.4051000000000002E+1	-1.0000000000000000E+0	-3.6023984648636538E-6	-1.3200000524520870E+0	1.2494969503507040E-8
8.4997000000000000E+1	-1.0000000000000000E+0	-2.9991244900884340E-6	-1.2599999904632571E+0	1.4978313700453331E-8
8.5998000000000005E+1	-1.0000000000000000E+0	-2.4626897356938571E-6	-1.2000000476837160E+0	1.7551995412645741E-8
8.6998999999999995E+1	-1.0000000000000000E+0	-1.9977176179963858E-6	-1.1399999856948850E+0	2.0325517269270680E-8
8.7998000000000005E+1	-1.0000000000000000E+0	-1.6009902310543109E-6	-1.0800000429153440E+0	2.3209047128602830E-8
8.9000000000000000E+1	-1.0000000000000000E+0	-1.2721776556645641E-6	-1.0199999809265139E+0	2.6501083993935029E-8
8.9997000000000000E+1	-1.0000000000000000E+0	-9.9391866115183802E-7	-9.5999997854232788E-1	2.9551326719001739E-8
9.1015000000000000E+1	-1.0000000000000000E+0	-7.7508531148851034E-7	-8.9999997615814209E-1	3.3217240513749857E-8
9.1998999999999995E+1	-1.0000000000000000E+0	-5.8907971833832562E-7	-8.3999997377395630E-1	3.6070215259087490E-8
9.2998000000000005E+1	-1.0000000000000000E+0	-4.3476222799654352E-7	-7.7999997138977051E-1	3.8244714062329883E-8
9.3997000000000000E+1	-1.0000000000000000E+0	-3.0970358011472849E-7	-7.2000002861022949E-1	3.9619052927264420E-8
9.4998999999999995E+1	-1.0000000000000000E+0	-2.1152162332782609E-7	-6.6000002622604370E-1	3.9405573915018983E-8
9.6063999999999993E+1	-1.0000000000000000E+0	-1.3705647461392800E-7	-6.0000002384185791E-1	3.9495240855558222E-8
9.7000000000000000E+1	-1.0000000000000000E+0	-8.1534722085052635E-8	-5.4000002145767212E-1	3.7955366849473648E-8
9.8013000000000005E+1	-1.0000000000000000E+0	-5.0208594615241957E-8	-4.7999998927116388E-1	3.6859919561038623E-8
9.8998000000000005E+1	-1.0000000000000000E+0	-2.9872083473492239E-8	-4.1999998688697809E-1	3.6281395665582750E-8
9.9995999999999995E+1	-1.0000000000000000E+0	-1.3224470407635641E-8	-3.6000001430511469E-1	2.5486922794470960E-8
1.0220500000000000E+2	-1.0000000000000000E+0	-1.2138283267404401E-8	-3.0000001192092901E-1	3.2547642803137933E-8
1.0299800000000000E+2	-1.0000000000000000E+0	-1.2140774607871659E-8	-2.3999999463558200E-1	3.5099866124710388E-8
1.0399900000000000E+2	-1.0000000000000000E+0	-1.3350772931630671E-8	-1.8000000715255740E-1	3.7082337200899928E-8
1.0499800000000000E+2	-1.0000000000000000E+0	-1.5033316813628520E-8	-1.1999999731779100E-1	3.8689076831133207E-8
1.0599800000000000E+2	-1.0000000000000000E+0	-1.6746879438755972E-8	-5.9999998658895493E-2	4.0211784124721823E-8
1.0699700000000000E+2	-1.0000000000000000E+0	-1.8386149491789180E-8	0.0000000000000000E+0	4.1601300182492202E-8
1.0799900000000000E+2	-1.0000000000000000E+0	-2.0071459161385970E-8	5.9999998658895493E-2	4.2945863754084712E-8
1.0899700000000000E+2	-1.0000000000000000E+0	-2.1912228476139720E-8	1.1999999731779100E-1	4.4228603002238742E-8
1.1000100000000000E+2	-1.0000000000000000E+0	-2.4040366142230599E-8	1.8000000715255740E-1	4.5638454793106582E-8
1.1099900000000000E+2	-1.0000000000000000E+0	-2.6597691160645809E-8	2.3999999463558200E-1	4.6713378054619170E-8
1.1206600000000000E+2	-1.0000000000000000E+0	-2.9676533230826859E-8	3.0000001192092901E-1	4.9389434764179902E-8
1.1299800000000000E+2	-1.0000000000000000E+0	-3.3394051968116400E-8	3.6000001430511469E-1	5.1743793250125243E-8
1.1400000000000000E+2	-1.0000000000000000E+0	-3.7930931284790858E-8	4.1999998688697809E-1	5.4669236249083042E-8
1.1500000000000000E+2	-1.0000000000000000E+0	-4.3257202264612722E-8	4.7999998927116388E-1	5.8270373415325587E-8
1.1599700000000000E+2	-1.0000000000000000E+0	-4.9210310493208447E-8	5.4000002145767212E-1	6.2543165313400095E-8
1.1699800000000000E+2	-1.0000000000000000E+0	-3.9737273027640192E-8	4.7999998927116388E-1	4.3090498280662359E-8
1.1799800000000000E+2	-1.0000000000000000E+0	-3.1557476631860481E-8	4.1999998688697809E-1	3.1777680931099887E-8
1.1899700000000000E+2	-1.0000000000000000E+0	-2.4987198088410881E-8	3.6000001430511469E-1	2.3340213317624151E-8
1.1999800000000000E+2	-1.0000000000000000E+0	-1.9533121786707849E-8	3.0000001192092901E-1	1.6717445205927109E-8
1.2194799999999999E+2	-1.0000000000000000E+0	-1.5353132098994141E-8	2.3999999463558200E-1	1.1321592552349101E-8
1.2299900000000000E+2	-1.0000000000000000E+0	-1.2183833497658720E-8	1.8000000715255740E-1	7.0737957713618016E-9
1.2400000000000000E+2	-1.0000000000000000E+0	-9.6934442694873723E-9	1.1999999731779100E-1	3.6028742211868799E-9
1.2500200000000000E+2	-1.0000000000000000E+0	-7.7030302136904538E-9	5.9999998658895493E-2	4.0915013044262588E-10
1.2599900000000000E+2	-1.0000000000000000E+0	-5.9430003140903409E-9	0.0000000000000000E+0	-2.2148252121212408E-9
1.2699800000000000E+2	-1.0000000000000000E+0	-4.5037151785720653E-9	-5.9999998658895493E-2	-4.1315915133566250E-9
1.2806399999999999E+2	-1.0000000000000000E+0	-3.2844067465731541E-9	-1.1999999731779100E-1	-7.1789623135032343E-9
1.2899900000000000E+2	-1.0000000000000000E+0	-2.2312760528109270E-9	-1.8000000715255740E-1	-9.5071559513826287E-9
